Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
Bororo Indians,,[150],650,Bororo Indians
Bororo language (Brazil),,[150],650,Bororo language (Brazil)
Bororo mythology,,[150],650,Bororo mythology
Boruca cooking,,[150],650,Boruca cooking
Boruca Indians,,[150],650,Boruca Indians
Boruca language,,[150],650,Boruca language
Bosque Redondo Indian Reservation (N.M.),,[151],651,Bosque Redondo Indian Reservation (N.M.)
Boston Bar First Nation,,[151],651,Boston Bar First Nation
Bowhead whale hunting,,[150],650,Bowhead whale hunting
"Braddock's Campaign, 1755",,[150],650,"Braddock's Campaign, 1755"
Brass Ankles,,[150],650,Brass Ankles
Brazilian literature—Indian authors,y,[150],650,Brazilian literature ǂx Indian authors
Bribri architecture,,[150],650,Bribri architecture
Bribri dialect,,[150],650,Bribri dialect
Bribri Indians,,[150],650,Bribri Indians
Bribri mythology,,[150],650,Bribri mythology
Bridge River (First Nation),,[151],651,Bridge River (First Nation)
Bridgeport Indian Colony,,[151],651,Bridgeport Indian Colony
Bridgeport Paiute Indian Colony of California,,[151],651,Bridgeport Paiute Indian Colony of California
Brighton Reservation (Fla.),,[151],651,Brighton Reservation (Fla.)
Brokenhead Ojibway Nation,,[151],651,Brokenhead Ojibway Nation
Broman Lake Indian Band,,[151],651,Broman Lake Indian Band
Brooks River Cutbank Site (Alaska),,[151],651,Brooks River Cutbank Site (Alaska)
Brooman Point Site (Nunavut),,[151],651,Brooman Point Site (Nunavut)
Brotherton Indian Reservation (N.J.),,[151],651,Brotherton Indian Reservation (N.J.)
Brotherton Indians,,[150],650,Brotherton Indians
Brothertown Indian Reservation (Wis.),,[151],651,Brothertown Indian Reservation (Wis.)
Brulé Indians,,[150],650,Brulé Indians
Brulé women,,[150],650,Brulé women
Brunswick House (First Nation),,[151],651,Brunswick House (First Nation)
Buctouche First Nation,,[151],651,Buctouche First Nation
Buena Vista Rancheria of Me-Wuk Indians of California,,[151],651,Buena Vista Rancheria of Me-Wuk Indians of California
Buffalo Creek Reservation (N.Y.),,[151],651,Buffalo Creek Reservation (N.Y.)
Buffalo dance,,[150],650,Buffalo dance
Buffalo jump,,[150],650,Buffalo jump
Buffalo Point First Nation,,[151],651,Buffalo Point First Nation
Buffalo River Dene Nation,,[151],651,Buffalo River Dene Nation
Bunibonibee Cree Nation,,[151],651,Bunibonibee Cree Nation
Burns Lake (First Nation),,[151],651,Burns Lake (First Nation)
Burns Paiute Tribe,,[151],651,Burns Paiute Tribe
Burns Paiute Tribe of the Burns Paiute Indian Colony of Oregon,,[151],651,Burns Paiute Tribe of the Burns Paiute Indian Colony of Oregon
"Butler's Indian Campaign, 1778",,[150],650,"Butler's Indian Campaign, 1778"
Cabazon Band of Cahuilla Mission Indians of the Cabazon Reservation,,[151],651,Cabazon Band of Cahuilla Mission Indians of the Cabazon Reservation
"Cabazon Band of Mission Indians, California",,[151],651,"Cabazon Band of Mission Indians, California"
Cabazon Reservation (Calif.),,[151],651,Cabazon Reservation (Calif.)
Cabecar architecture,,[150],650,Cabecar architecture
Cabecar Indians,,[150],650,Cabecar Indians
Cabecar language,,[150],650,Cabecar language
Cabecar mythology,,[150],650,Cabecar mythology
Cabiyari Indians,,[150],650,Cabiyari Indians
Cabiyari mythology,,[150],650,Cabiyari mythology
Caboclos (Brazilian people),,[150],650,Caboclos (Brazilian people)
Cacán language,,[150],650,Cacán language
"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",,[151],651,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California"
Caciques (Indian leaders),,[150],650,Caciques (Indian leaders)
Cacua language,,[150],650,Cacua language
Caddo dance,,[150],650,Caddo dance
Caddo Indian Tribe of Oklahoma,,[151],651,Caddo Indian Tribe of Oklahoma
Caddo Indians,,[150],650,Caddo Indians
Caddo language,,[150],650,Caddo language
Caddo mythology,,[150],650,Caddo mythology
Caddo Nation,,[151],651,Caddo Nation
Caddo Nation of Oklahoma,,[151],651,Caddo Nation of Oklahoma
Caddo pottery,,[150],650,Caddo pottery
Caddoan Indians,,[150],650,Caddoan Indians
Caddoan languages,,[150],650,Caddoan languages
Caddoan metal-work,,[150],650,Caddoan metal-work
Caddoan pottery,,[150],650,Caddoan pottery
Caduveo art,,[150],650,Caduveo art
Caduveo Indians,,[150],650,Caduveo Indians
Caduveo language,,[150],650,Caduveo language
Cahita Indians,,[150],650,Cahita Indians
Cahita language,,[150],650,Cahita language
"Cahto Indian Tribe of the Laytonville Rancheria, California",,[151],651,"Cahto Indian Tribe of the Laytonville Rancheria, California"
Cahto Tribe of the Laytonville Rancheria,,[151],651,Cahto Tribe of the Laytonville Rancheria
Cahuilla Band of Indians,,[151],651,Cahuilla Band of Indians
"Cahuilla Band of Mission Indians of the Cahuilla Reservation, California",,[151],651,"Cahuilla Band of Mission Indians of the Cahuilla Reservation, California"
Cahuilla baskets,,[150],650,Cahuilla baskets
Cahuilla Indians,,[150],650,Cahuilla Indians
Cahuilla language,,[150],650,Cahuilla language
Cahuilla Reservation (Calif.),,[151],651,Cahuilla Reservation (Calif.)
Cahuilla women,,[150],650,Cahuilla women
Caingua architecture,,[150],650,Caingua architecture
Caingua Indians,,[150],650,Caingua Indians
Caingua language,,[150],650,Caingua language
Cakchikel dance,,[150],650,Cakchikel dance
Cakchikel embroidery,,[150],650,Cakchikel embroidery
Cakchikel Indians,,[150],650,Cakchikel Indians
Cakchikel language,,[150],650,Cakchikel language
Cakchikel textile fabrics,,[150],650,Cakchikel textile fabrics
Caldwell (First Nation),,[151],651,Caldwell (First Nation)
Calf Creek culture,,[150],650,Calf Creek culture
"California Valley Miwok Tribe, California",,[151],651,"California Valley Miwok Tribe, California"
Calima culture,,[150],650,Calima culture
Callahuaya Indians,,[150],650,Callahuaya Indians
Callahuaya language,,[150],650,Callahuaya language
Callahuaya mythology,,[150],650,Callahuaya mythology
Calumet dance,,[150],650,Calumet dance
Calumets,,[150],650,Calumets
Calusa Indians,,[150],650,Calusa Indians
Cambridge Bay (Inuit community),,[151],651,Cambridge Bay (Inuit community)
"Camp Cady, Battle of, Calif., 1866",,[150],650,"Camp Cady, Battle of, Calif., 1866"
"Camp Grant Massacre, Ariz., 1871",,[150],650,"Camp Grant Massacre, Ariz., 1871"
Camp Verde Indian Reservation (Ariz.),,[151],651,Camp Verde Indian Reservation (Ariz.)
Campa Indians,,[150],650,Campa Indians
Campa language,,[150],650,Campa language
Campa languages,,[150],650,Campa languages
Campbell River (First Nation),,[151],651,Campbell River (First Nation)
"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",,[151],651,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California"
Campo Indian Reservation (Calif.),,[151],651,Campo Indian Reservation (Calif.)
Campo Indians,,[150],650,Campo Indians
"Campus Site (Fairbanks, Alaska)",,[151],651,"Campus Site (Fairbanks, Alaska)"
Camsa Indians,,[150],650,Camsa Indians
Camsa language,,[150],650,Camsa language
Camsa mythology,,[150],650,Camsa mythology
Canada—Civilization—Indian influences,y,[151],651,Canada ǂx Civilization ǂx Indian influences
Canadian aboriginal syllabics,,[150],650,Canadian aboriginal syllabics
Canadian drama—Indian authors,y,[150],650,Canadian drama ǂx Indian authors
Canadian fiction—Indian authors,y,[150],650,Canadian fiction ǂx Indian authors
Canadian literature—Indian authors,y,[150],650,Canadian literature ǂx Indian authors
Canadian literature—Inuit authors,y,[150],650,Canadian literature ǂx Inuit authors
Canadian literature—Métis authors,y,[150],650,Canadian literature ǂx Métis authors
Canadian poetry—Indian authors,y,[150],650,Canadian poetry ǂx Indian authors
Canadian prose literature—Indian authors,y,[150],650,Canadian prose literature ǂx Indian authors
Canamari Indians,,[150],650,Canamari Indians
Cañari Indians,,[150],650,Cañari Indians
Cañari language,,[150],650,Cañari language
Cañari mythology,,[150],650,Cañari mythology
Candelaria culture,,[150],650,Candelaria culture
Candoshi Indians,,[150],650,Candoshi Indians
Candoshi language,,[150],650,Candoshi language
Canella Indians,,[150],650,Canella Indians
Canella language,,[150],650,Canella language
Canelo art,,[150],650,Canelo art
Canelo Indians,,[150],650,Canelo Indians
Canelo mythology,,[150],650,Canelo mythology
Canichana language,,[150],650,Canichana language
Canim Lake (First Nation),,[151],651,Canim Lake (First Nation)
Canoe Lake Cree First Nation,,[151],651,Canoe Lake Cree First Nation
Canupawakpa Dakota First Nation,,[151],651,Canupawakpa Dakota First Nation
Capanahua Indians,,[150],650,Capanahua Indians
Capanahua language,,[150],650,Capanahua language
Cape Addington Rockshelter (Alaska),,[151],651,Cape Addington Rockshelter (Alaska)
Cape Dorset (Inuit community),,[151],651,Cape Dorset (Inuit community)
Cape Dorset (Nunavut),,[151],651,Cape Dorset (Nunavut)
Cape Mudge (First Nation),,[151],651,Cape Mudge (First Nation)
Capitan Grande Indian Reservation (Calif.),,[151],651,Capitan Grande Indian Reservation (Calif.)
Capote Indians,,[150],650,Capote Indians
"Captina Creek, Battle of, Ohio, 1791",,[150],650,"Captina Creek, Battle of, Ohio, 1791"
Caquetio Indians,,[150],650,Caquetio Indians
Cara Indians,,[150],650,Cara Indians
Cara mythology,,[150],650,Cara mythology
Caraja art,,[150],650,Caraja art
Caraja cosmology,,[150],650,Caraja cosmology
Caraja Indians,,[150],650,Caraja Indians
Caraja language,,[150],650,Caraja language
Caraja mythology,,[150],650,Caraja mythology
Caraja pottery,,[150],650,Caraja pottery
Carapana Indians,,[150],650,Carapana Indians
Carcross/Tagish First Nation,,[151],651,Carcross/Tagish First Nation
Carib art,,[150],650,Carib art
Carib astronomy,,[150],650,Carib astronomy
Carib children,,[150],650,Carib children
Carib cosmology,,[150],650,Carib cosmology
Carib Indians,,[150],650,Carib Indians
Carib language,,[150],650,Carib language
Carib mythology,,[150],650,Carib mythology
Carib pottery,,[150],650,Carib pottery
Carib Reserve (Dominica),,[151],651,Carib Reserve (Dominica)
Cariban Indians,,[150],650,Cariban Indians
Cariban languages,,[150],650,Cariban languages
Cariban mythology,,[150],650,Cariban mythology
Caribou Eskimos,,[150],650,Caribou Eskimos
Carijona Indians,,[150],650,Carijona Indians
Carrier Indians,,[150],650,Carrier Indians
Carrier language,,[150],650,Carrier language
Carrier mythology,,[150],650,Carrier mythology
Carry the Kettle (First Nation),,[151],651,Carry the Kettle (First Nation)
Casa Grande Ruins National Monument (Ariz.),,[151],651,Casa Grande Ruins National Monument (Ariz.)
Cashinawa art,,[150],650,Cashinawa art
Cashinawa Indians,,[150],650,Cashinawa Indians
Cashinawa language,,[150],650,Cashinawa language
Cashinawa mythology,,[150],650,Cashinawa mythology
Cat Lake (First Nation),,[151],651,Cat Lake (First Nation)
Catalan language—Foreign words and phrases—Indian,y,[150],650,Catalan language ǂx Foreign words and phrases ǂx Indian
Catawba Indian Nation,,[151],651,Catawba Indian Nation
Catawba Indian Reservation (S.C.),,[151],651,Catawba Indian Reservation (S.C.)
Catawba Indians,,[150],650,Catawba Indians
Catawba language,,[150],650,Catawba language
Catawba pottery,,[150],650,Catawba pottery
Cathlamet dialect,,[150],650,Cathlamet dialect
Cathlamet Indians,,[150],650,Cathlamet Indians
Catio Indians,,[150],650,Catio Indians
Catio language,,[150],650,Catio language
Cattaraugus Indian Reservation (N.Y.),,[151],651,Cattaraugus Indian Reservation (N.Y.)
Catuquina Indians,,[150],650,Catuquina Indians
Catuquina mythology,,[150],650,Catuquina mythology
Cauqui language,,[150],650,Cauqui language
Cavineño Indians,,[150],650,Cavineño Indians
Cavineño language,,[150],650,Cavineño language
Caxixó Indians,,[150],650,Caxixó Indians
Cayapa Indians,,[150],650,Cayapa Indians
Cayapa language,,[150],650,Cayapa language
Cayapa mythology,,[150],650,Cayapa mythology
Cayapo cosmology,,[150],650,Cayapo cosmology
Cayapo featherwork,,[150],650,Cayapo featherwork
Cayapo Indians,,[150],650,Cayapo Indians
Cayapo language,,[150],650,Cayapo language
Cayoose Creek (First Nation),,[151],651,Cayoose Creek (First Nation)
Cayuga Indians,,[150],650,Cayuga Indians
Cayuga language,,[150],650,Cayuga language
Cayuga Nation of New York,,[151],651,Cayuga Nation of New York
Cayuse Indians,,[150],650,Cayuse Indians
Cayuvava language,,[150],650,Cayuvava language
Cazcan Indians,,[150],650,Cazcan Indians
Cedar Band of Paiutes,,[151],651,Cedar Band of Paiutes
Cedar City Band of Paiutes,,[151],651,Cedar City Band of Paiutes
"Cedar Grove Site (Lafayette County, Ark.)",,[151],651,"Cedar Grove Site (Lafayette County, Ark.)"
"Cedarville Rancheria, California",,[151],651,"Cedarville Rancheria, California"
Cemochechobee Archaeological District (Ga.),,[151],651,Cemochechobee Archaeological District (Ga.)
Central American literature—Indian authors,y,[150],650,Central American literature ǂx Indian authors
Central Council of the Tlingit & Haida Indian Tribes,,[151],651,Central Council of the Tlingit & Haida Indian Tribes
Central Pomo language,,[150],650,Central Pomo language
Central Yupik language,,[150],650,Central Yupik language
Cenu Indians,,[150],650,Cenu Indians
Cenu pottery,,[150],650,Cenu pottery
Cerrito de la Campana Site (Mexico),,[151],651,Cerrito de la Campana Site (Mexico)
Cerro de las Mesas Site (Mexico),,[151],651,Cerro de las Mesas Site (Mexico)
Chaac (Maya deity),,[150],650,Chaac (Maya deity)
Chacalilla Site (Mexico),,[151],651,Chacalilla Site (Mexico)
Chachapoya architecture,,[150],650,Chachapoya architecture
Chachapoya Indians,,[150],650,Chachapoya Indians
Chachapoya textile fabrics,,[150],650,Chachapoya textile fabrics
Chaco culture,,[150],650,Chaco culture
Chacobo Indians,,[150],650,Chacobo Indians
Chacobo language,,[150],650,Chacobo language
Chalkyitsik Village,,[151],651,Chalkyitsik Village
Chamacoco cosmology,,[150],650,Chamacoco cosmology
Chamacoco Indians,,[150],650,Chamacoco Indians
Chamacoco language,,[150],650,Chamacoco language
Chamacoco mythology,,[150],650,Chamacoco mythology
Chamí baskets,,[150],650,Chamí baskets
Chamí Indians,,[150],650,Chamí Indians
Chamí language,,[150],650,Chamí language
Chamí mythology,,[150],650,Chamí mythology
Chamí pottery,,[150],650,Chamí pottery
Champagne and Aishihik First Nations,,[151],651,Champagne and Aishihik First Nations
"Champlain-Iroquois Battle, N.Y., 1615",,[150],650,"Champlain-Iroquois Battle, N.Y., 1615"
"Champotón, Battle of, Champotón, Mexico, 1517",,[150],650,"Champotón, Battle of, Champotón, Mexico, 1517"
Chana language (Uruguay),,[150],650,Chana language (Uruguay)
Chanca Indians,,[150],650,Chanca Indians
Chancay culture,,[150],650,Chancay culture
Chané Indians,,[150],650,Chané Indians
Changing Woman Ceremony (Apache rite),,[150],650,Changing Woman Ceremony (Apache rite)
Chango Indians,,[150],650,Chango Indians
Chantuto Indians,,[150],650,Chantuto Indians
Chapleau Cree First Nation,,[151],651,Chapleau Cree First Nation
Chapleau Ojibway (First Nation),,[151],651,Chapleau Ojibway (First Nation)
Charca Indians,,[150],650,Charca Indians
Charrua Indians,,[150],650,Charrua Indians
Charrua Indians in literature,,[150],650,Charrua Indians in literature
Charrua language,,[150],650,Charrua language
Chastacosta Indians,,[150],650,Chastacosta Indians
Chastacosta language,,[150],650,Chastacosta language
Chatino Indians,,[150],650,Chatino Indians
Chatino language,,[150],650,Chatino language
Chavín culture,,[150],650,Chavín culture
Chawathil (First Nation),,[151],651,Chawathil (First Nation)
Cheam (First Nation),,[151],651,Cheam (First Nation)
Chechehet language,,[150],650,Chechehet language
Checkerboard Indian reservations,,[150],650,Checkerboard Indian reservations
Cheesh-Na Tribe,,[151],651,Cheesh-Na Tribe
Chehalis Indian Band,,[151],651,Chehalis Indian Band
Chehalis Indians,,[150],650,Chehalis Indians
Chehalis Reservation (Wash.),,[151],651,Chehalis Reservation (Wash.)
Chelan Indians,,[150],650,Chelan Indians
Chemainus First Nation,,[151],651,Chemainus First Nation
Chemakum Indians,,[150],650,Chemakum Indians
Chemawawin Cree Nation,,[151],651,Chemawawin Cree Nation
Chemehuevi baskets,,[150],650,Chemehuevi baskets
"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",,[151],651,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California"
Chemehuevi Indians,,[150],650,Chemehuevi Indians
Chemehuevi language,,[150],650,Chemehuevi language
Chemehuevi mythology,,[150],650,Chemehuevi mythology
"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",,[151],651,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California"
Cheraw Indians,,[150],650,Cheraw Indians
Cheroenhaka Indians,,[150],650,Cheroenhaka Indians
Cherokee art,,[150],650,Cherokee art
Cherokee astronomy,,[150],650,Cherokee astronomy
Cherokee baskets,,[150],650,Cherokee baskets
Cherokee business enterprises,,[150],650,Cherokee business enterprises
Cherokee code talkers,,[150],650,Cherokee code talkers
Cherokee cooking,,[150],650,Cherokee cooking
Cherokee dance,,[150],650,Cherokee dance
Cherokee incantations,,[150],650,Cherokee incantations
Cherokee Indian Reservation (N.C.),,[151],651,Cherokee Indian Reservation (N.C.)
Cherokee Indians,,[150],650,Cherokee Indians
